Time Period,USD,AUD,CAD,EUR,BRL,CHF,DKK,GBP,CZK,HUF,JPY,KRW,ZAR,TWD,TRY,SGD,SEK,PLN,NZD,NOK,MXN
20000207,0.058971354,0.053884489,0.050678833,0.032807205,0.18019009,0.0208688,0.035941689,0.059260272,0.051905324,0.12158445,0.000405549,,0.09945006,0.042926713,0.36965694,0.02372762,0.039069327,0.16580309,0.052888722,0.056145418,0.17119158
20000208,0.057255683,0.054083633,0.050678833,0.03290833,0.17969035,0.022184604,0.035436179,0.059260272,0.052612106,0.11907385,0.000405549,,0.10146491,0.042926713,0.35980765,0.022063949,0.039384676,0.16600047,0.052689559,0.056851962,0.17119158
20000209,0.057255683,0.054681046,0.050212705,0.03290833,0.17919057,0.022184604,0.035436179,0.059857439,0.051400457,0.12007815,0.000405549,,0.10022489,0.042926713,0.36965694,0.020073284,0.039227002,0.16590178,0.052888722,0.055136001,0.15808225
20000210,0.058668606,0.054382343,0.050212705,0.032807205,0.16568932,0.021071241,0.035436179,0.059757913,0.052410172,0.12007815,0.000405549,,0.10146491,0.042926713,0.34995064,0.019984126,0.039069327,0.16846748,0.052888722,0.055035056,0.15808225
20000211,0.057751192,0.053777003,0.049894135,0.032905366,0.16261492,0.021171233,0.035735992,0.060643558,0.052806406,0.1197377,0.000405549,,0.10267601,0.042921671,0.3692867,0.019983033,0.03906515,0.16612255,0.053179722,0.054925855,0.15801411
20000214,0.058063087,0.053784916,0.050212705,0.033009454,0.17919057,0.021273678,0.036447177,0.059857439,0.052612106,0.12007815,0.000608319,,0.10239535,0.042926713,0.37949853,0.019984126,0.039384676,0.16580309,0.052589976,0.055539778,0.15808225
20000215,0.058466769,0.053884489,0.050056329,0.033312819,0.17899066,0.023601469,0.036649367,0.060056489,0.052612106,0.11957601,0.000811085,,0.10239535,0.042926713,0.37949853,0.018632002,0.039384676,0.16688865,0.053685342,0.05564072,0.15357589
20000216,0.057255683,0.054183204,0.050212705,0.033312819,0.17969035,0.022488231,0.035436179,0.060454578,0.052410172,0.12007815,0.000709702,,0.10161966,0.042926713,0.38933244,0.017487845,0.039384676,0.16629654,0.052092051,0.056145418,0.15357589
20000217,0.057255683,0.053895762,0.050212705,0.03290833,0.16819064,0.022791851,0.036042787,0.060454578,0.052612106,0.11555816,0.000709702,,0.10084492,0.042926713,0.38933244,0.018736048,0.039384676,0.16629654,0.05318746,0.056851962,0.15357589
20000218,0.058659193,0.053478367,0.050361143,0.033410884,0.16461471,0.021980859,0.037454254,0.059648653,0.051897955,0.11602369,0.000709701,,0.10112747,0.042921671,0.3692867,0.018735086,0.03874885,0.16641835,0.053183479,0.055632252,0.15351157
20000222,0.058466769,0.053884489,0.050056329,0.034222874,0.18068982,0.019654091,0.037255917,0.059459331,0.052107266,0.11555816,0.000608319,,0.10022489,0.042926713,0.37949853,0.020088161,0.038437594,0.16639523,0.053884489,0.05564072,0.15407667
20000223,0.058466769,0.053685342,0.049590178,0.0344251,0.18118953,0.020059007,0.037963521,0.059658387,0.052511139,0.11254393,0.000405549,,0.098829964,0.042926713,0.38933244,0.022687839,0.039069327,0.16669128,0.054083633,0.055741662,0.15407667
20000224,0.057255683,0.053585767,0.050056329,0.03351506,0.16919104,0.021476111,0.037357006,0.059857439,0.052107266,0.11606046,0.000405549,,0.10146491,0.042926713,0.39915866,0.023103782,0.039069327,0.17320277,0.053287038,0.056851962,0.15407667
20000225,0.058356533,0.054075632,0.050049475,0.034320763,0.16461471,0.022486846,0.037454254,0.059847641,0.053109208,0.11301147,0.001013845,,0.10376046,0.042921671,0.40852455,0.022478529,0.039380431,0.17341662,0.053577913,0.055430429,0.15401193
20000228,0.058668606,0.053884489,0.050212705,0.034526212,0.18168921,0.021982182,0.037963521,0.059857439,0.051905324,0.11304636,0.000608319,,0.10131017,0.042926713,0.42859138,0.021232081,0.039384676,0.17527389,0.053984062,0.055842602,0.15407667
20000229,0.059274095,0.054183204,0.050678833,0.0344251,0.18078976,0.0208688,0.037963521,0.060255535,0.053116926,0.11505584,0.000304163,,0.10146491,0.042926713,0.40897721,0.021856012,0.039384676,0.17566836,0.053685342,0.055943542,0.15077111
20000301,0.059355729,0.052375795,0.050354205,0.03462076,0.18001326,0.020360416,0.038258755,0.060136224,0.051991502,0.11247479,0.000506933,,0.098002539,0.042916631,0.40807322,0.023516682,0.039376187,0.17569711,0.053570062,0.055623788,0.15064719
20000302,0.058856222,0.053872577,0.05020236,0.033813719,0.16807501,0.021271819,0.037957605,0.059743266,0.053105351,0.11299403,0.000608317,,0.1011135,0.042919151,0.40829872,0.023725308,0.039063062,0.17593613,0.054469735,0.056132486,0.15067814
20000303,0.058659193,0.05288107,0.050361143,0.033613086,0.1641148,0.020665187,0.038464879,0.059250668,0.051797011,0.11200722,0.000304163,,0.10205642,0.042921671,0.38892197,0.023726079,0.039696714,0.17637239,0.055071008,0.055733163,0.15070912
20000306,0.059062725,0.054274714,0.050516476,0.034118575,0.1641148,0.019855471,0.037757451,0.059847641,0.051897955,0.11351355,0.000304163,,0.10159146,0.042921671,0.39872735,0.021750697,0.039696714,0.17637239,0.055867248,0.055228601,0.15070912
20000307,0.059365366,0.054075632,0.050516476,0.034522949,0.1641148,0.01934937,0.037454254,0.059847641,0.051494175,0.11250935,0.001013845,,0.10205642,0.042921671,0.39872735,0.019983033,0.039696714,0.17656941,0.0560663,0.056035889,0.14059473
20000308,0.059254882,0.053868608,0.050976349,0.03462076,0.19944783,0.019854391,0.037955634,0.059837846,0.052092415,0.1129766,0.000405548,,0.098311782,0.042916631,0.37871939,0.021229613,0.040007598,0.17658289,0.057152088,0.056430801,0.14054082
20000309,0.058957089,0.053972106,0.051135207,0.035127797,0.18704135,0.021676612,0.038462855,0.059245867,0.051793342,0.11349596,0.000405548,,0.098015659,0.042919151,0.36910195,0.019462586,0.040009789,0.17662539,0.055962491,0.056132486,0.14056777
20000310,0.059567123,0.053378819,0.050361143,0.035533827,0.18409494,0.022183257,0.038970159,0.059549158,0.051897955,0.11451767,0.001115225,,0.098338193,0.042921671,0.33977225,0.019775084,0.040170618,0.17666792,0.056862472,0.055934982,0.14059473
