,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2012-03-01,0.38559378,8.80011413,-0.12888687,-0.12895031,-0.07297279,0.44401179,-9.27583263,-0.11867715,-0.2070015,-0.13304736,0.04442675,2.10758638,0.02262319,-0.08029556,-0.23932581,-0.39017827,0.55919959,-0.58838736
2012-04-01,0.13340058,4.19319857,-0.04944954,-0.12580572,-0.06161014,0.40659425,-4.37901606,-0.18937777,-0.16829031,-0.11908438,0.02681244,1.84242244,-0.08516718,-0.01546452,-0.09039354,-0.25207711,0.38078707,-0.44747906
2012-05-01,0.20489658,5.59465911,-0.0966864,-0.17947821,-0.08594886,0.47256961,-5.95707193,-0.19294372,-0.19729247,-0.0700426,0.01374561,2.03650125,-0.04939374,-0.02595304,-0.23148581,-0.29176847,0.50852749,-0.4528344
2012-06-01,0.1845573,6.3259298,-0.10123756,-0.19704406,-0.09807627,0.48234392,-6.61591122,-0.1434172,-0.13240342,-0.12532925,0.04074391,2.06353026,0.03888767,0.01255134,-0.34947526,-0.3077411,0.46858554,-0.54649441
2012-07-01,0.23201575,6.16411135,-0.12113201,-0.12438414,-0.12120196,0.49504075,-6.31717565,-0.12954818,-0.25851756,-0.06623848,0.0220487,1.88115524,-0.06710582,-0.07004563,-0.13358739,-0.2644305,0.36190023,-0.4829047
2012-08-01,0.2457494,5.86101199,-0.02978208,-0.22079581,-0.20661525,0.51008482,-6.19255492,-0.12829176,-0.27470421,-0.08335176,-0.00231926,2.15688984,-0.01966552,-0.07789677,-0.18283508,-0.31953942,0.44922021,-0.48460439
2012-09-01,0.28679905,2.87901932,-0.05868215,-0.11522211,-0.16488682,0.33159582,-2.94405474,-0.02820454,-0.1918286,-0.03294927,-0.01891729,1.71614908,-0.19215455,-0.11032098,-0.12683363,-0.2229954,0.32578457,-0.33229774
2012-10-01,0.2503034,5.43579601,-0.06899971,-0.21029505,-0.14094749,0.44544842,-5.88236405,-0.16246311,-0.25690056,-0.08197291,0.01617438,2.14017815,0.05859635,-0.0354927,-0.21605068,-0.31946297,0.49743925,-0.46898674
2012-11-01,0.20443687,5.28285286,-0.01683725,-0.1515093,-0.14701178,0.46550828,-5.60001164,-0.10847165,-0.24694142,0.0380077,-0.00011839,1.89083101,-0.14360332,-0.08269432,-0.10209268,-0.30124494,0.43631561,-0.41741564
2012-12-01,0.10309065,4.77366744,-0.01952054,-0.20727243,-0.08506861,0.41020991,-4.9812762,-0.07601367,-0.19700018,0.01436131,0.00409882,1.81103427,-0.07819831,-0.10620031,-0.07194666,-0.27704782,0.43588919,-0.45280686
2013-01-01,0.1766112,4.07984491,-0.05596943,-0.18298408,-0.15022316,0.4172485,-4.25049196,-0.1953704,-0.20694171,0.01484064,-0.03943836,1.85904183,-0.05166577,-0.03017002,-0.00894849,-0.25389119,0.34631191,-0.46780444
2013-02-01,0.26729129,5.53632114,-0.09136833,-0.21608179,-0.16013951,0.50246182,-5.82414031,-0.21437159,-0.23580876,0.03112598,-0.04381268,1.87665268,-0.10804777,-0.0421296,0.04532463,-0.30804905,0.46961119,-0.48483936
